registration,model,icao_type_code,owner,manufacturer
PH-BXN,Boeing 737,737,KLM,Boeing
PH-AXM,Airbus A321 NEO,32Q,KLM,Airbus
PH-NXN,Embraer 195,E95,KLM Cityhopper,Embraer
PH-BXP,Boeing 737,737,KLM,Boeing
PH-BCK,Boeing 737-800,738,KLM,Boeing
PH-BXU,Boeing 737,737,KLM,Boeing
PH-EXF,Embraer 190,E90,KLM Cityhopper,Embraer
PH-EXZ,Embraer 175,E75,KLM Cityhopper,Embraer
PH-AXE,Airbus A321 NEO,32Q,KLM,Airbus
PH-NXF,Embraer 195-E2,Unknown,KLM,Embraer
F-HOZC,Airbus A220-300,223,Air France,Airbus
PH-NXV,Embraer 195,E95,KLM Cityhopper,Embraer
PH-AXR,Airbus A321 NEO,32Q,KLM,Airbus
PH-NXR,Embraer 195,E95,KLM Cityhopper,Embraer
PH-AXG,Airbus A321 NEO,32Q,KLM,Airbus
PH-BXV,Boeing 737,737,KLM,Boeing
PH-BXH,Boeing 737,737,KLM,Boeing
PH-BGG,Boeing 737,737,KLM,Boeing
PH-BXI,Boeing 737,737,KLM,Boeing
PH-BXM,Boeing 737,737,KLM,Boeing
PH-BXO,Boeing 737,737,KLM,Boeing
PH-EXM,Embraer 175,E75,KLM Cityhopper,Embraer
PH-AXH,Airbus A321 NEO,32Q,KLM,Airbus
PH-AXA,Airbus A321 NEO,32Q,KLM,Airbus
PH-EZM,Embraer 190,E90,KLM Cityhopper,Embraer
PH-NXY,Embraer 195,E95,KLM Cityhopper,Embraer
PH-AXI,Airbus A321 NEO,32Q,KLM,Airbus
PH-BGH,Boeing 737,737,KLM,Boeing
PH-BCB,Boeing 737,737,KLM,Boeing
F-GKXC,Airbus A320,320,Air France,Airbus
PH-AXF,Airbus A321 NEO,32Q,KLM,Airbus
D-AKJC,Embraer 190,E90,KLM Cityhopper,Embraer
PH-BGM,Boeing 737,737,KLM,Boeing
PH-AXC,Airbus A321 NEO,32Q,KLM,Airbus
PH-EXW,Embraer 175,E75,KLM Cityhopper,Embraer
PH-NXG,Embraer 195-E2,Unknown,KLM,Embraer
PH-EZF,Embraer 190,E90,KLM Cityhopper,Embraer
PH-EXS,Embraer 175,E75,KLM Cityhopper,Embraer
PH-BXF,Boeing 737,737,KLM,Boeing
PH-BXC,Boeing 737-800,738,KLM,Boeing
PH-BCL,Boeing 737-800,738,KLM,Boeing
PH-HSD,Boeing 737,737,KLM,Boeing
PH-AXB,Airbus A321 NEO,32Q,KLM,Airbus
F-HBLH,Embraer 190,E90,HOP!,Embraer
PH-BGI,Boeing 737,737,KLM,Boeing
PH-NXP,Embraer 195,E95,KLM Cityhopper,Embraer
F-HBLE,Embraer 190,E90,HOP!,Embraer
PH-EXT,Embraer 175,E75,KLM Cityhopper,Embraer
D-AWSI,Embraer 190,E90,KLM Cityhopper,Embraer
PH-NXH,Embraer 195-E2,Unknown,KLM,Embraer
PH-BCA,Boeing 737,737,KLM,Boeing
PH-BXS,Boeing 737,737,KLM,Boeing
PH-EXK,Embraer 175,E75,KLM Cityhopper,Embraer
PH-EXR,Embraer 175,E75,KLM Cityhopper,Embraer
PH-EXI,Embraer 175,E75,KLM Cityhopper,Embraer
PH-EXE,Embraer 190,E90,KLM Cityhopper,Embraer
PH-EXG,Embraer 175,E75,KLM Cityhopper,Embraer
PH-BCG,Boeing 737-800,738,KLM,Boeing
