airport_iata,delay_date,total_flights,delayed_flights,avg_delay_min,median_delay_min,canceled_flights
LHR,2026-05-31,3236,947,8.28,8.0,36
JFK,2026-05-31,3756,1853,17.17,18.0,0
DXB,2026-05-31,3667,0,5.54,4.0,28
HND,2026-05-31,3402,0,5.47,2.0,47
SIN,2026-05-31,3029,0,7.63,0.5,8
CDG,2026-05-31,3420,877,7.11,3.5,23
LAX,2026-05-31,4653,29,11.4,13.0,0
SYD,2026-05-31,1745,0,2.52,0.0,6
GRU,2026-05-31,2346,0,0.0,0.0,0
JNB,2026-05-31,948,130,4.48,0.0,0
DEL,2026-05-31,4999,0,0.0,0.0,132
HNL,2026-05-31,1065,0,0.0,0.0,0
AMS,2026-05-31,1371,49,5.3,1.5,67
IST,2026-05-31,3725,0,3.58,0.0,146
