flight_number,aircraft_registration,origin_iata,destination_iata,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status,airline_code,flight_id
BA 348,Unknown,LHR,MRS,2026-05-31 05:05Z,2026-05-31 05:11Z,2026-05-31 07:00Z,2026-05-31 06:34Z,Departed,BA,BA348_2026-05-31 05:05Z
QR 6219,Unknown,LHR,MRS,2026-05-31 05:05Z,2026-05-31 05:11Z,2026-05-31 07:00Z,2026-05-31 06:34Z,Departed,QR,QR6219_2026-05-31 05:05Z
BA 598,Unknown,LHR,VCE,2026-05-31 05:05Z,2026-05-31 05:15Z,2026-05-31 07:20Z,Not Available,Departed,BA,BA598_2026-05-31 05:05Z
QR 8337,Unknown,LHR,VCE,2026-05-31 05:05Z,2026-05-31 05:15Z,2026-05-31 07:20Z,Not Available,Departed,QR,QR8337_2026-05-31 05:05Z
AA 6897,Unknown,LHR,VCE,2026-05-31 05:05Z,2026-05-31 05:15Z,2026-05-31 07:20Z,Not Available,Departed,AA,AA6897_2026-05-31 05:05Z
BA 456,Unknown,LHR,MAD,2026-05-31 05:15Z,2026-05-31 05:15Z,2026-05-31 07:40Z,2026-05-31 07:20Z,Canceled,BA,BA456_2026-05-31 05:15Z
QR 9710,Unknown,LHR,MAD,2026-05-31 05:15Z,2026-05-31 05:15Z,2026-05-31 07:40Z,2026-05-31 07:20Z,Canceled,QR,QR9710_2026-05-31 05:15Z
LA 5507,Unknown,LHR,MAD,2026-05-31 05:15Z,2026-05-31 05:15Z,2026-05-31 07:40Z,2026-05-31 07:20Z,Canceled,LA,LA5507_2026-05-31 05:15Z
JL 7799,Unknown,LHR,MAD,2026-05-31 05:15Z,2026-05-31 05:15Z,2026-05-31 07:40Z,2026-05-31 07:20Z,Canceled,Unknown,JL7799_2026-05-31 05:15Z
AA 6800,Unknown,LHR,MAD,2026-05-31 05:15Z,2026-05-31 05:15Z,2026-05-31 07:40Z,2026-05-31 07:20Z,Canceled,AA,AA6800_2026-05-31 05:15Z
IB 3641,Unknown,LHR,MAD,2026-05-31 05:15Z,2026-05-31 05:15Z,2026-05-31 07:40Z,2026-05-31 07:20Z,Canceled,IB,IB3641_2026-05-31 05:15Z
OS 340,OE-LZQ,LHR,VIE,2026-05-31 05:00Z,2026-05-31 05:18Z,2026-05-31 07:10Z,2026-05-31 07:14Z,Departed,OS,OS340_2026-05-31 05:00Z
AC 6186,Unknown,LHR,VIE,2026-05-31 05:00Z,2026-05-31 05:18Z,2026-05-31 07:10Z,2026-05-31 07:14Z,Departed,AC,AC6186_2026-05-31 05:00Z
NH 5606,Unknown,LHR,VIE,2026-05-31 05:00Z,2026-05-31 05:18Z,2026-05-31 07:10Z,2026-05-31 07:14Z,Departed,NH,NH5606_2026-05-31 05:00Z
LX 345,YL-ABU,LHR,ZRH,2026-05-31 05:00Z,2026-05-31 05:19Z,2026-05-31 06:40Z,2026-05-31 06:39Z,Departed,LX,LX345_2026-05-31 05:00Z
TP 1363,Unknown,LHR,LIS,2026-05-31 05:00Z,2026-05-31 05:23Z,2026-05-31 07:50Z,2026-05-31 07:40Z,Departed,TP,TP1363_2026-05-31 05:00Z
AD 7232,Unknown,LHR,LIS,2026-05-31 05:00Z,2026-05-31 05:23Z,2026-05-31 07:50Z,2026-05-31 07:40Z,Departed,AD,AD7232_2026-05-31 05:00Z
SQ 2783,Unknown,LHR,LIS,2026-05-31 05:00Z,2026-05-31 05:23Z,2026-05-31 07:50Z,2026-05-31 07:40Z,Departed,SQ,SQ2783_2026-05-31 05:00Z
AI 7913,Unknown,LHR,LIS,2026-05-31 05:00Z,2026-05-31 05:23Z,2026-05-31 07:50Z,2026-05-31 07:40Z,Departed,AI,AI7913_2026-05-31 05:00Z
AC 2686,Unknown,LHR,LIS,2026-05-31 05:00Z,2026-05-31 05:23Z,2026-05-31 07:50Z,2026-05-31 07:40Z,Departed,AC,AC2686_2026-05-31 05:00Z
S4 8050,Unknown,LHR,LIS,2026-05-31 05:00Z,2026-05-31 05:23Z,2026-05-31 07:50Z,2026-05-31 07:40Z,Departed,S4,S48050_2026-05-31 05:00Z
UA 6857,Unknown,LHR,LIS,2026-05-31 05:00Z,2026-05-31 05:23Z,2026-05-31 07:50Z,2026-05-31 07:40Z,Departed,UA,UA6857_2026-05-31 05:00Z
BA 674,G-TTNJ,LHR,PVK,2026-05-31 05:00Z,2026-05-31 05:24Z,2026-05-31 08:30Z,2026-05-31 08:30Z,Departed,BA,BA674_2026-05-31 05:00Z
BA 786,G-EUUF,LHR,GOT,2026-05-31 05:20Z,2026-05-31 05:25Z,2026-05-31 07:15Z,2026-05-31 06:55Z,Departed,BA,BA786_2026-05-31 05:20Z
AA 6772,G-EUUF,LHR,GOT,2026-05-31 05:20Z,2026-05-31 05:25Z,2026-05-31 07:15Z,2026-05-31 06:55Z,Departed,AA,AA6772_2026-05-31 05:20Z
